id,latitude,longitude,state_name,pop,pop_rank,cumulative_perc_cov
47535,10.5450001591358,7.37166665174145,Kaduna,85726.1031455994,1,0.402922870095088
47536,11.1641668233109,7.65583331726459,Kaduna,67630.4104819298,2,0.40915770926823
47537,10.5908334922847,7.47499998465895,Kaduna,53328.3536980152,3,0.414074043596326
47538,10.6808334919225,8.27583331476962,Kaduna,45661.9783308506,4,0.418283615728028
47539,10.4291668262686,7.52749998444768,Kaduna,42567.7990648746,5,0.422207935856101
47540,10.4575001594879,7.49083331792857,Kaduna,41275.1627374888,6,0.426013088001115
47541,11.3766668224557,7.88166664968913,Kaduna,41066.5359716415,7,0.429799006870403
47542,10.4775001594074,7.37583331839135,Kaduna,38732.1537492275,8,0.433369719331483
47543,11.1750001566006,8.22499998164084,Kaduna,37942.1972312927,9,0.436867605798932
47544,10.4400001595584,8.65499997991046,Kaduna,34457.2194743156,10,0.440044212598227
47545,10.4333334929185,7.45583331806941,Kaduna,32924.0449038744,11,0.443079476223601
47546,10.537500159166,7.48666665127867,Kaduna,32001.9913829565,12,0.446029735848985
47547,9.57000016305936,7.43499998481992,Kaduna,29546.2425711155,13,0.448753600295302
47548,9.58166682967908,8.28666664805935,Kaduna,26664.804125309,14,0.451211825287875
47549,9.60916682956841,8.3924999809668,Kaduna,26530.0445694923,15,0.453657626813673
47550,10.3991668263893,7.71583331702314,Kaduna,23416.2117133141,16,0.455816364473793
47551,11.0641668237133,7.67333331719416,Kaduna,21337.7299489975,17,0.457783487157271
47552,11.19833348984,7.56249998430684,Kaduna,20712.5441193581,18,0.45969297403648
47553,10.2766668268823,8.54749998034306,Kaduna,20705.2595071793,19,0.461601789348195
47554,10.4866668260372,7.46249998470925,Kaduna,20597.8073766232,20,0.46350069866129
47555,10.4108334930091,7.4066666516006,Kaduna,20423.7814198732,21,0.465383564542968
47556,9.46583349681187,8.38666664765694,Kaduna,20347.7573730946,22,0.467259421777181
47557,10.8000001581097,8.15749998191247,Kaduna,19753.8054504395,23,0.469080522657146
47558,9.38000016382395,8.58333331353219,Kaduna,19741.133715868,24,0.470900455331468
47559,10.620000158834,7.46249998470925,Kaduna,19729.0090043545,25,0.472719270230137
47560,11.5008334886227,8.15499998192253,Kaduna,19462.0862140656,26,0.4745134775498
47561,10.5333334925161,8.69333331308954,Kaduna,19370.7202744484,27,0.476299261854797
47562,9.6966668292163,7.45499998473944,Kaduna,19104.5009850264,28,0.478060503436446
47563,11.20166682316,7.79666665003118,Kaduna,18847.3478689194,29,0.479798038104143
47564,10.3250001600211,8.38749998098692,Kaduna,18830.3722782135,30,0.481534007794234
47565,9.34666683062475,8.60666664677163,Kaduna,18342.5791079998,31,0.483225007892327
47566,10.6175001588441,7.23416665229477,Kaduna,17728.3524808884,32,0.484859382513676
47567,9.44333349690242,7.8124999833008,Kaduna,16850.3899269104,33,0.486412817875821
47568,11.0466668237837,6.99416665326056,Kaduna,16668.7213287354,34,0.487949505232382
47569,10.7666668249105,7.51749998448793,Kaduna,16202.3167421818,35,0.489443194807825
47570,10.4008334930493,8.69749997973944,Kaduna,15569.3028819561,36,0.490878526913829
47571,10.3858334931097,8.57333331357243,Kaduna,15555.0424377918,37,0.49231254435125
47572,10.3158334933913,7.38249998503119,Kaduna,15033.1049692631,38,0.493698444438036
47573,10.4983334926569,8.59499998015191,Kaduna,14857.2044489384,39,0.495068128277621
47574,10.4316668262586,7.50416665120825,Kaduna,14540.3212709427,40,0.496408598696241
47575,11.240000156339,8.02166664912575,Kaduna,14302.7344124317,41,0.497727166011776
47576,9.67083349598692,8.5124999804839,Kaduna,13711.9585261345,42,0.49899126977146
47577,11.2525001562887,6.95333332009155,Kaduna,13657.1258926392,43,0.500250318517449
47578,9.43250016361268,8.35416664778772,Kaduna,12910.8259351254,44,0.501440565962708
47579,11.0258334905342,8.33916664784809,Kaduna,12870.411149025,45,0.502627087573837
47580,10.3783334931398,7.39249998499094,Kaduna,12838.5795276165,46,0.503810674631729
47581,11.2458334896489,7.90499998292857,Kaduna,12434.3077762127,47,0.504956991926886
47582,10.5583334924155,7.49499998457847,Kaduna,12365.8664166927,48,0.506096999621579
47583,10.7400001583511,8.23666664826056,Kaduna,12086.5691359043,49,0.507211258934518
47584,11.0691668236932,7.95499998272736,Kaduna,11950.334215641,50,0.508312958767018
47585,9.44750016355231,7.77333331679175,Kaduna,11888.5579295158,51,0.509408963451344
47586,10.4000001597193,7.49833331789839,Kaduna,11383.1437263489,52,0.510458374062825
47587,10.7925001581398,6.63833332135915,Kaduna,11370.04651618,53,0.511506577244121
47588,9.58583349632898,8.22416664831086,Kaduna,11244.7983825207,54,0.512543233815474
47589,10.8066668247495,7.555833317667,Kaduna,11203.2136423588,55,0.513576056694778
47590,11.1775001565905,8.17499998184205,Kaduna,11120.9872157574,56,0.514601299129989
47591,11.1491668233712,8.00749998251609,Kaduna,11096.209646225,57,0.515624257324131
47592,10.4216668262988,7.80249998334104,Kaduna,10852.4864981174,58,0.516624746711409
47593,11.4050001556751,8.00749998251609,Kaduna,10779.6768958569,59,0.517618523790466
47594,9.93916682824044,7.4233333182002,Kaduna,10305.3689177036,60,0.518568574475711
47595,11.3400001559366,7.38416665169115,Kaduna,10304.5131750107,61,0.519518546270143
47596,9.66250016268712,8.31833331459859,Kaduna,10243.022995472,62,0.520462849292533
47597,11.1108334901922,7.72916665030281,Kaduna,9822.43510985374,63,0.521368378369795
47598,10.6008334922445,7.49333331791851,Kaduna,9816.45828580856,64,0.522273356444388
